Host_Arrival_NS,Gateway_Ingress_NS,Latency_US
1764346310299312758,1764346310296742518,2570.24
1764346310301401065,1764346310298983469,2417.6
1764346310303487813,1764346310301365151,2122.66
1764346310305626577,1764346310303283395,2343.18
1764346310307831483,1764346310305264380,2567.1
1764346310310044852,1764346310308846402,1198.45
1764346310312211574,1764346310309618549,2593.03
1764346310314357315,1764346310311790759,2566.56
1764346310316326898,1764346310314195688,2131.21
1764346310318333354,1764346310316124181,2209.17
1764346310320574197,1764346310318953053,1621.14
1764346310322678971,1764346310320403609,2275.36
1764346310324870926,1764346310322381595,2489.33
1764346310327012997,1764346310324790274,2222.72
1764346310329163322,1764346310326724016,2439.31
1764346310331346548,1764346310328952718,2393.83
1764346310333407350,1764346310330922955,2484.39
1764346310335591205,1764346310332937436,2653.77
1764346310337608278,1764346310335282623,2325.66
1764346310339731934,1764346310338946884,785.05
1764346310341829312,1764346310339464815,2364.5
1764346310343926282,1764346310341456796,2469.49
1764346310346200551,1764346310343791977,2408.57
1764346310348351021,1764346310345760708,2590.31
1764346310350490060,1764346310348947523,1542.54
1764346310352409392,1764346310349993130,2416.26
1764346310354552624,1764346310352342310,2210.31
1764346310356707861,1764346310354302792,2405.07
1764346310358823917,1764346310356727461,2096.46
1764346310361021623,1764346310358876167,2145.46
1764346310363177720,1764346310360791656,2386.06
1764346310365240018,1764346310362775885,2464.13
1764346310367386776,1764346310365123814,2262.96
1764346310369502899,1764346310368772566,730.333
1764346310371695617,1764346310369289496,2406.12
1764346310373858141,1764346310371709165,2148.98
1764346310375879924,1764346310373652400,2227.52
1764346310378017951,1764346310375559639,2458.31
1764346310380185768,1764346310378741705,1444.06
1764346310382288218,1764346310380195006,2093.21
1764346310384353088,1764346310382141741,2211.35
1764346310386489419,1764346310384095724,2393.7
1764346310388725022,1764346310386514394,2210.63
1764346310390877473,1764346310388745089,2132.38
1764346310392953102,1764346310390707071,2246.03
1764346310395126706,1764346310392667303,2459.4
1764346310397128828,1764346310395045479,2083.35
1764346310399317994,1764346310398729726,588.268
1764346310401466874,1764346310398989190,2477.68
1764346310403552760,1764346310401163143,2389.62
1764346310405708518,1764346310403553067,2155.45
1764346310407752276,1764346310405499301,2252.97
1764346310410096826,1764346310408739609,1357.22
1764346310412209955,1764346310409738972,2470.98
1764346310414250240,1764346310411728701,2521.54
1764346310416372862,1764346310414075380,2297.48
1764346310418600818,1764346310416056110,2544.71
1764346310420748738,1764346310418737244,2011.49
1764346310422843226,1764346310420265785,2577.44
1764346310424945226,1764346310422616214,2329.01
1764346310427126848,1764346310424568448,2558.4
1764346310429275401,1764346310426978868,2296.53
1764346310431353460,1764346310428774873,2578.59
1764346310433552373,1764346310431164297,2388.08
1764346310435553629,1764346310433140027,2413.6
1764346310437670155,1764346310435511203,2158.95
1764346310439781541,1764346310438730264,1051.28
1764346310441937272,1764346310439462164,2475.11
1764346310444131904,1764346310441679361,2452.54
1764346310446312521,1764346310443674339,2638.18
1764346310448332166,1764346310446032017,2300.15
1764346310450630219,1764346310448729399,1900.82
1764346310452738619,1764346310450206197,2532.42
1764346310454741415,1764346310452173428,2567.99
1764346310456785466,1764346310454560102,2225.36
1764346310459151058,1764346310456529833,2621.22
1764346310461180103,1764346310458748280,2431.82
1764346310463272326,1764346310460710763,2561.56
1764346310465335179,1764346310463097187,2237.99
1764346310467491339,1764346310465064918,2426.42
1764346310469674441,1764346310468729418,945.023
1764346310471851744,1764346310469236848,2614.9
1764346310473869991,1764346310471659268,2210.72
1764346310476136179,1764346310473617000,2519.18
1764346310478296969,1764346310476014423,2282.55
1764346310480461029,1764346310478722803,1738.23
1764346310482517998,1764346310480158607,2359.39
1764346310484694787,1764346310482122089,2572.7
1764346310486728869,1764346310484544258,2184.61
1764346310488904867,1764346310486494992,2409.88
1764346310491048430,1764346310488717938,2330.49
1764346310493099326,1764346310490703167,2396.16
1764346310495179114,1764346310492673148,2505.97
1764346310497298265,1764346310495021828,2276.44
1764346310499578847,1764346310498733571,845.276
